	BindingDB_Reactant_set_id	Name	Ligand_SMILES	IC50 (nM)	pIC50
1452	50582894	BindingDB_50320910_mol_1	COc1ccc2cc3-c4cc5OCOc5cc4CC[n+]3cc2c1OCCC[n+]1ccccc1	359.0	6.444905551421681
1453	50582884	BindingDB_50320900_mol_1	COc1ccc2cc3-c4cc5OCOc5cc4CC[n+]3cc2c1OCCCOc1ccc2ccccc2c1	359.0	6.444905551421681
1454	50557630	BindingDB_50310277_mol_1	COc1ccc2cc3-c4cc5OCOc5cc4CC[n+]3cc2c1OCCCOn1nnc2ccccc12	359.0	6.444905551421681
1455	50913379	BindingDB_50318707_mol_1	COC(=O)c1cc2c(N)c3CCCCCc3nc2nc1C	360.0	6.443697499232712
1456	50351269		Cl.CCN(CCCOc1ccc2c(C)c(C)c(=O)oc2c1)Cc1ccccc1	360.0	6.443697499232712
1457	50439320		COc1cc2CC(C(=O)Nc3ccccc3C)C(=O)c2cc1OC	360.0	6.443697499232712
1458	50332140	BindingDB_50179314_mol_1	CC(C)CN1CCc2c(C1)sc1nc(oc(=O)c21)N(C)C	360.0	6.443697499232712
1459	50927062	BindingDB_50380188_mol_1	CN(C)CCNC(=O)c1ccc(\C=C2/CCCn3c2nc2cc(Cl)ccc2c3=O)cc1	360.0	6.443697499232712
1460	326436	1-_2-Chlorobenzyl_-4-___6-methoxycoumarin-7-yl_oxy_methyl_py	COc1cc2ccc(=O)oc2cc1OCc1cc[n+](Cc2ccccc2Cl)cc1	360.0	6.443697499232712
1461	50318082	BindingDB_50075589_mol_1	Fc1ccc(CNCCCCCCCN2C(=O)c3ccccc3C2=O)cc1	361.0	6.442492798094342
1462	50941568	BindingDB_50386071_mol_1	COc1cc2CCC(=O)c2cc1OCCCCCN1CCCCC1	361.0	6.442492798094342
1463	50542241		COc1cc2OC\C(=C/c3ccc(CN4CCCC4)c(O)c3)C(=O)c2cc1OC	362.0	6.441291429466834
1464	51240480	 	OC(CNc1ccc(Cl)cc1)CNc1ccc(cc1)-c1nc2ccccc2o1	363.0	6.440093374963888
1465	50542265		CCN(Cc1ccccc1)Cc1ccc(\C=C2/COc3cc(OC)c(OC)cc3C2=O)cc1O	364.0	6.438898616350944
1466	50530137	BindingDB_50298423_mol_1	C[C@H]1CCC[C@@H](C)N1S(=O)(=O)c1ccc(C)cc1	365.0	6.437707135543525
1467	50642729	BindingDB_50345195_mol_1	COc1ccc(CNCCCCNc2c3CCCCc3nc3ccccc23)cc1OC	365.2	6.437469231137738
1468	34124	32	CC[C@H](C)C(=O)N[C@H]1CC=C2C[C@@H]3[C@@H](CC[C@H]2[C@]1(C)CN)[C@]1(C)C[C@@H](O)[C@H]([C@H](C)N(C)C)[C@@]1(C)CC3=O	368.0	6.434152181326482
1469	50724853		CCOC(=O)C1=C(Oc2nc3CCCCc3c(N)c2C1c1ccccc1F)c1ccccc1	370.0	6.431798275933005
1470	50080465		Cn1c2ccccc2c(O)c(C(=O)NCC2CCN(Cc3ccccc3)CC2)c1=O	370.0	6.431798275933005
1471	51281562	 	Clc1ccc(cc1)C1C=C(Nc2nncn12)c1cccc2ccccc12	371.0	6.430626090384954
1472	51210439		CCN(CC)c1ccc(\C=C2/Cc3cc(OC)c(OCCCN4CCCCC4)cc3C2=O)cc1	371.0	6.430626090384954
1473	50572297	BindingDB_50316361_mol_1	CCN(CC)CC(=O)Nc1ccc2nc3-c4[nH]c5ccccc5c4CCn3c(=O)c2c1	372.3	6.429106963781607
1474	358399	BindingDB_50379274_mol_1	CC1=C[C@@H]2C[C@H](C1)c1c(C2)nc2cc(Cl)ccc2c1N	373.0	6.428291168191312
1475	50761226		COc1ccc(cc1OC)C(=O)C(CCC1CCN(Cc2ccccc2)CC1)C(C)=O	373.0	6.428291168191312
1476	51067694	BindingDB_50435950_mol_1	O=C(CN1CCN(CCOc2ccc3c(cc(=O)oc3c2)-c2ccccc2)CC1)Nc1c2CCCCc2nc2ccccc12	373.0	6.428291168191312
1477	50849320	BindingDB_50223058_mol_1	CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(cc1)-c1ccccc1-n1nnnc1C(c1ccccc1)(c1ccccc1)c1ccccc1	373.2	6.428058364925538
1478	50605462	BindingDB_50203126_mol_1	COc1ccc2cc3-c4cc5OCOc5cc4CC[n+]3cc2c1OC	374.0	6.42712839779952
1479	50557665	BindingDB_50310290_mol_1	COc1ccc2cc3-c4cc5OCOc5cc4CC[n+]3cc2c1OCCOn1nnc2ccccc12	375.0	6.425968732272281
1480	50636974	BindingDB_50342757_mol_1	O=C1c2ccccc2-c2ncc(OCCN3CCCCC3)c3cccc1c23	375.0	6.425968732272281
1481	51297207	 	Nc1ccc2oc(nc2c1)N1CCN(Cc2ccc(Br)cc2)CC1	379.0	6.421360790031928
1482	50857070		CCN(CCCCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1OC	380.0	6.42021640338319
1483	50080429		Cn1c2ccccc2c(N)c(C(=O)NCC2CCN(Cc3ccccc3)CC2)c1=O	380.0	6.42021640338319
1484	34115	15	CC(C)C1=N[C@H]2CC=C3C[C@@H]4[C@@H](CC[C@H]3[C@]2(C)CO1)[C@]1(C)C[C@@H](OC(C)=O)[C@H]([C@H](C)N(C)C)[C@@]1(C)CC4=O	380.0	6.42021640338319
1485	51123099		CCN(CCCCCCN1[S+]([O-])c2cc(OC)c(OC)cc2C1=O)Cc1ccccc1	380.0	6.42021640338319
1486	51117338		[Br-].Cc1cc(=O)oc2cc(OCc3cc[n+](Cc4ccccc4)cc3)ccc12	380.0	6.42021640338319
1487	50960247	BindingDB_50393869_mol_1	O=C(CCCC(=O)Nc1nc(cs1)-c1ccccc1)NCCCNc1c2CCCCc2nc2ccccc12	380.19	6.41999931041096
1488	51083674		O=c1n(CCC2CCN(Cc3ccccc3)CC2)[se]c2ccccc12	382.0	6.4179366370882915
1489	50490285		Clc1ccc(CN2CCN(C\C=C\CN3C(=O)c4ccccc4C3=O)CC2)cc1	384.0	6.4156687756324695
1490	50314789	BindingDB_50073142_mol_1	Cc1c(C)c2OC(C)(CCc2c(C)c1O)C(=O)NCCCCCCCCCCNc1c2CCCCc2nc2ccccc12	387.0	6.412289034981089
1491	50991064	BindingDB_50282187_mol_1	Cc1cc(N2CCN(CC2)c2nc(Nc3cccc(c3)C(F)(F)F)nc(Nc3ccc(F)c(Cl)c3)n2)n2ncnc2n1	388.0	6.411168274405792
1492	50530134	BindingDB_50298422_mol_1	C[C@H]1CCC[C@@H](C)N1S(=O)(=O)c1ccccc1	388.0	6.411168274405792
1493	50490300		Clc1ccc(CN2CCN(CCCCCCN3C(=O)c4ccccc4C3=O)CC2)cc1	389.0	6.410050398674292
1494	50367984	BindingDB_50099599_mol_1	CC1N([C@@H](Cc2c1[nH]c1ccccc21)C(=O)NCCCCCCNc1c2CCCCc2nc2ccccc12)C(=O)OC(C)(C)C	389.0	6.410050398674292
1495	50283220	BindingDB_50053568_mol_1	O=c1n2CCCc2nc2ccc(OCCCCCCCCCN3CCCCC3)cc12	389.0	6.410050398674292
1496	339333	8-imino-N-_1-_4-methoxyphenyl_ethyl_-2-oxo-2H_8Hpyrano_2_3-f	COc1ccc(cc1)C(C)NC(=O)c1cc2c(ccc3ccc(=O)oc23)oc1=N	390.0	6.4089353929735005
1497	351694	2-_5-Acetyl-4-_4-_benzyloxy_phenyl_-6-methyl-1_4-dihydropyri	CC(=O)C1=C(C)NC(Sc2ccccc2CC(N)=O)=NC1c1ccc(OCc2ccccc2)cc1	390.0	6.4089353929735005
1498	50080466		Oc1c(C(=O)NC2CCN(Cc3ccccc3)CC2)c(=O)n(Cc2ccccc2)c2ccccc12	390.0	6.4089353929735005
1499	50912053	BindingDB_50317087_mol_1	C[N+]12CCc3ccccc3C1c1ccc(OCCCCOc3ccc4C5c6ccccc6CC[N+]5(C)CCc4c3)cc1CC2	390.0	6.4089353929735005
1500	50580818	BindingDB_50319972_mol_1	CC1CCN(CC1)c1nccc(NCc2ccccc2)n1	390.0	6.4089353929735005
1501	51282401	 	CCn1ncc2c(NC3CCCCC3)c(cnc12)C(=O)NCCCCCCCNc1c2CCCCc2nc2ccc(Cl)cc12	391.0	6.407823242604133
1502	51282399	 	CCn1ncc2c(NC3CCCCC3)c(cnc12)C(=O)NCCCCCCCCNc1c2CCCCc2nc2ccccc12	392.0	6.406713932979542
1503	51297187	 	Nc1ccc2oc(nc2c1)N1CCN(CCc2ccccc2)CC1	393.0	6.405607449624573
1504	51223281	 	Cc1ccccc1CN1C2N(CCC2(Cc2ccccc2C)c2ccccc12)C(=O)COc1ccccc1	396.0	6.402304814074488
1505	50526845		COc1ccc(CN2CCN(CC(=O)Nc3nc4ccc(OC)cc4s3)CC2)cc1	397.0	6.401209493236885
1506	326437	1-_3-Chlorobenzyl_-4-___6-methoxycoumarin-7-yl_oxy_methyl_py	COc1cc2ccc(=O)oc2cc1OCc1cc[n+](Cc2cccc(Cl)c2)cc1	397.0	6.401209493236885
1507	51067693	BindingDB_50435956_mol_1	Cc1cc(=O)oc2cc(OCCCCCCN3CCN(CC(=O)Nc4c5CCCCc5nc5ccccc45)CC3)ccc12	398.0	6.400116927926312
1508	50636985	BindingDB_50342768_mol_1	CN(C)CCCNc1ccc2C(=O)c3ccccc3-c3nccc1c23	398.0	6.400116927926312
1509	50557667	BindingDB_50310288_mol_1	COc1ccc2cc3-c4cc5OCOc5cc4CC[n+]3cc2c1OCCCCCOc1ccccc1	398.0	6.400116927926312
1510	50592822	BindingDB_50325202_mol_1	CCOc1ccc2C(=O)\C(Oc2c1)=C\c1cc[n+](Cc2cccc(C)c2)cc1	399.0	6.399027104313252
1511	50703637	BindingDB_50358094_mol_1	COc1ccc2cc3-c4cc5OCOc5cc4CCn3cc2\c1=[NH+]\CCCCOc1cccc2ccccc12	400.0	6.3979400086720375
1512	50913390	BindingDB_50318704_mol_1	CCOC(=O)c1cc2c(N)c3CCCCCCc3nc2nc1C	400.0	6.3979400086720375
1513	34095	9h	C[C@@H]([C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC[C@@H]4C(C[C@H]3C(=O)C[C@]12C)=CC[C@@H]1N=C(OC[C@@]41C)C1CCCCC1)N(C)C	400.0	6.3979400086720375
1514	51095490	BindingDB_50449213_mol_1	Cn1c(cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc12)C(O)=O	400.0	6.3979400086720375
1515	50582879	BindingDB_50320895_mol_1	COc1ccc2cc3-c4cc5OCOc5cc4CC[n+]3cc2c1OCCCOc1ccc(cc1)[N+]([O-])=O	400.0	6.3979400086720375
1516	50918664	BindingDB_50292332_mol_1	COc1cc2CC[n+]3cc4c(OC)c(OC)ccc4cc3-c2cc1OC	400.0	6.3979400086720375
1517	50490293		COc1ccc(CN2CCN(CCCCN3C(=O)c4ccccc4C3=O)CC2)cc1	403.0	6.394694953858891
1518	50724782		CCOC(=O)C1=C(Oc2nc3CCCCc3c(N)c2C1c1ccc(F)cc1)c1ccccc1	404.0	6.393618634889395
1519	50636984	BindingDB_50342767_mol_1	CN1CCN(CCCOc2ccc3C(=O)c4ccccc4-c4nccc2c34)CC1	405.0	6.392544976785332
1520	364601	BindingDB_205983_mol_1	COc1ccc2nc(NCCc3cc[n+](Cc4c(F)cccc4F)cc3)sc2c1	408.0	6.38933983691012
1521	50534808		COc1cc2CC(CC3CCN(Cc4cccc(Cl)n4)CC3)C(=O)c2cc1OC	409.0	6.388276691992658
1522	51256731	 	COc1cc2Cc3sc(NC(=O)C4CCN(Cc5ccccc5)CC4)nc3-c2cc1OC	410.0	6.3872161432802645
1523	50662065	BindingDB_50353687_mol_1	O=C(CCNCCCNc1c2CCCc2nc2ccccc12)Nc1ccc-2c(c1)C(=O)c1cccc3ccnc-2c13	411.0	6.386158178123931
1524	50714331		COc1cc2O\C(=C/c3ccc(O)c(CN(C)C)c3)C(=O)c2cc1OC	411.0	6.386158178123931
1525	51282395	 	CCn1ncc2c(NC3CCCCC3)c(cnc12)C(=O)NCCNc1c2CCCCc2nc2cc(Cl)ccc12	412.0	6.3851027839668655
1526	50534791	BindingDB_50029932_mol_1	COc1cc2CC(CC3CCN(Cc4cccc(c4)[N+]([O-])=O)CC3)C(=O)c2cc1OC	414.0	6.382999658879101
1527	339324	8-imino-N-methyl-2-oxo-2H_8H-pyrano_2_3-f_chromene-9-carboxa	CNC(=O)c1cc2c(ccc3ccc(=O)oc23)oc1=N	415.0	6.3819519032879075
1528	51080515	BindingDB_50441855_mol_1	O=c1cc(oc2cc(OCCN3CCN(CCCNc4c5CCCCc5nc5ccccc45)CC3)ccc12)-c1ccccc1	416.0	6.380906669373258
1529	51080507	BindingDB_50441847_mol_1	COc1ccc(cc1)-c1cc(=O)c2ccc(OCCCN3CCN(CCCNc4c5CCCCc5nc5ccccc45)CC3)cc2o1	417.0	6.379863945026242
1530	50525942		CN(C)c1ccc(cc1)-c1cc(=O)c2ccc(OCC(=O)NCCNc3c4CCCCc4nc4ccccc34)cc2o1	418.0	6.3788237182249645
1531	51144748		CC(C)(C)c1cc(\C=C\C(=O)NCCC2CCN(Cc3ccc(F)c(F)c3)CC2)cc(c1O)C(C)(C)C	420.0	6.376750709602099
1532	294910	BindingDB_50359396_mol_1	CN(CC#C)Cc1cc2cc(OCCC3CCN(Cc4ccccc4)CC3)ccc2n1C	420.0	6.376750709602099
1533	50351301		Cl.CN(Cc1ccccc1)Cc1ccc(COc2ccc3c(CO)cc(=O)oc3c2)cc1	420.0	6.376750709602099
1534	50683090	BindingDB_50280646_mol_1	COc1cc2C\C(=C/C3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC	420.0	6.376750709602099
1535	50706971	BindingDB_50359509_mol_1	COc1ccc2cc3-c4cc5OCOc5cc4CC[n+]3cc2c1OCCc1cccc(O)c1	422.0	6.374687549038326
1536	50324871		COc1cc(\C=C2/Oc3cc(OCCN4CCCCC4)ccc3C2=O)cc(OC)c1OC	422.0	6.374687549038326
1537	50662066	BindingDB_50353690_mol_1	O=C(CCNCCNc1c2CCCc2nc2ccccc12)Nc1ccc-2c(c1)C(=O)c1cccc3ccnc-2c13	422.0	6.374687549038326
1538	50724852		CCOC(=O)C1=C(Oc2nc3CCCCc3c(N)c2C1c1ccccc1)c1ccccc1	423.0	6.373659632624958
1539	51085811		O=c1n(CCCNc2c3CCCCc3nc3ccccc23)[se]c2ccccc12	423.0	6.373659632624958
1540	50534980		CCCc1n[nH]c2Oc3nc4CCCCc4c(N)c3C(c12)c1cccc(c1)[N+]([O-])=O	423.0	6.373659632624958
1541	51083995	BindingDB_50443523_mol_1	[O-][N+](=O)c1ccc2oc(=O)c(cc2c1)C(=O)NC1CCN(Cc2ccccc2)CC1	430.0	6.366531544420414
1542	50802138	BindingDB_50102757_mol_1	CC(C)c1cc(nnc1NCCC1CCN(Cc2ccccc2)CC1)-c1ccccc1	430.0	6.366531544420414
1543	50574313	BindingDB_50317196_mol_1	C(C[n+]1ccc2c(c1)[nH]c1ccccc21)[n+]1ccc2c(c1)[nH]c1ccccc21	430.0	6.366531544420414
1544	50858684		CCN(CCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1	430.0	6.366531544420414
1545	50636983	BindingDB_50342766_mol_1	CN1CCN(CCOc2ccc3C(=O)c4ccccc4-c4nccc2c34)CC1	432.0	6.364516253185088
1546	51077134	BindingDB_50440458_mol_1	CC1c2c(Oc3c1c(=O)oc1ccccc31)nc1CCCCc1c2N	432.0	6.364516253185088
1547	50991058	BindingDB_50282185_mol_1	Fc1ccc(Nc2nc(Cl)nc(Nc3cccc(c3)C(F)(F)F)n2)cc1Cl	432.0	6.364516253185088
1548	50318123	BindingDB_50075591_mol_1	Fc1ccccc1CNCCCCCCCCN1C(=O)c2ccccc2C1=O	438.0	6.3585258894959
1549	51245794		Cl.C#CCOc1ccc(\C=N\Nc2c3CCCCc3nc3ccccc23)cc1	438.0	6.3585258894959
1550	50490298		Clc1ccc(CN2CCN(CCCCCCCCN3C(=O)c4ccccc4C3=O)CC2)cc1	440.0	6.356547323513812
1551	50579293	BindingDB_50319405_mol_1	CCN(CC)Cc1ccc(OCCCCCCN2CCCC2)cc1	440.0	6.356547323513812
1552	339340	8-imino-N-_2-_2-methoxyphenoxy_ethyl_-2-oxo-2H_8H-pyrano_2_3	COc1ccccc1OCCNC(=O)c1cc2c(ccc3ccc(=O)oc23)oc1=N	440.0	6.356547323513812
1553	50802105	BindingDB_50102737_mol_1	C(CC1CCN(Cc2ccccc2)CC1)Nc1nnc(-c2ccccc2)c2ccccc12	440.0	6.356547323513812
1554	51215586		NCc1ccc(cc1)-c1nc2cc(Cl)ccc2c2NCCCc12	440.0	6.356547323513812
1555	50981888	BindingDB_50402584_mol_1	COc1cccc2cc(C(=O)\C=C\c3cc[n+](Cc4ccc(Cl)c(Cl)c4)cc3)c(=O)oc12	440.0	6.356547323513812
1556	50351302		OCc1cc(=O)oc2cc(OCc3ccc(CNCc4ccccc4)cc3)ccc12	440.0	6.356547323513812
1557	51229261	 	CCN(CC)Cc1ccc(\C=C\C(=O)c2ccc(OC)c(OC)c2)cc1O	440.0	6.356547323513812
1558	50431014		[Br-].COc1cccc(C[n+]2ccc(\C=C3/OCc4c(OC)c(OC)ccc4C3=O)cc2)c1	441.0	6.355561410532162
1559	364599	BindingDB_205981_mol_1	COc1ccc2nc(NCCc3cc[n+](Cc4ccccc4)cc3)sc2c1	441.0	6.355561410532162
1560	51297201	 	Nc1ccc2oc(nc2c1)N1CCN(CC1)C(=O)c1ccccc1Br	445.0	6.351639989019068
1561	50490290		COc1ccc(CN2CCN(CCCCCCCN3C(=O)c4ccccc4C3=O)CC2)cc1	448.0	6.3487219860018556
1562	50703634	BindingDB_50358091_mol_1	COc1ccc2cc3-c4cc5OCOc5cc4CCn3cc2\c1=[NH+]\CCc1ccc(C)cc1	449.0	6.347753658996677
1563	50870800	BindingDB_50245886_mol_1	OC[C@H]1O[C@@H](Oc2ccc(C=O)cc2)[C@H](O)[C@@H](O)[C@@H]1O	450.0	6.346787486224656
1564	51127634		COc1ccc2CN(CCCCCCN3CC[C@@]45C=C[C@H](O)C[C@@H]4Oc4c5c(C3)ccc4OC)CC[C@@]34CC[C@H](O)C[C@@H]3Oc1c24	450.0	6.346787486224656
1565	50912057	BindingDB_50378775_mol_1	C[N+]12CCc3ccccc3C1c1ccc(OCCCOc3ccc4C5c6ccccc6CC[N+]5(C)CCc4c3)cc1CC2	450.0	6.346787486224656
1566	50530140	BindingDB_50298424_mol_1	C[C@H]1CCC[C@@H](C)N1S(=O)(=O)c1ccc(cc1)C(C)(C)C	450.0	6.346787486224656
1567	50534874		Nc1c2CSCCc2nc2Oc3[nH]nc(c3C(c3ccc(Cl)cc3)c12)-c1ccccc1	450.0	6.346787486224656
1568	50155122	BindingDB_50087164_mol_1	CO[C@@H]1C[C@@H]2Oc3c4c(CN(CCCCCCN5CC[C@@]67C=C[C@H](O)CC6Oc6c7c(C5)ccc6OC)CC[C@@]24C=C1)ccc3OC	450.0	6.346787486224656
1569	50407485	BindingDB_50117951	Fc1ccc(\C=C\C(=O)SSC(=O)\C=C\c2ccc(F)cc2)cc1	450.0	6.346787486224656
1570	50283166	BindingDB_50053427_mol_1	O=c1n2Cc3ccccc3-c2nc2ccc(OCCCn3ccnc3)cc12	454.0	6.342944147142896
1571	51056130	BindingDB_50430725_mol_1	COc1ccc(C[C@@H](C)N(CCCCCCNc2c3CCCCc3nc3ccccc23)CC#C)cc1	456.0	6.341035157335565
1572	50431015		[Br-].COc1ccc2C(=O)\C(OCc2c1OC)=C\c1cc[n+](Cc2cccc(c2)[N+]([O-])=O)cc1	456.0	6.341035157335565
1573	50605453	BindingDB_50329504_mol_1	COc1ccc2cc3-c4cc5OCOc5cc4CC[n+]3cc2c1OCCCN1CCOCC1	456.0	6.341035157335565
1574	51271840	 	Cc1ccc2oc(cc(=O)c2c1)-c1ccc(OCCCCCCN2CCCCCC2)cc1	460.0	6.337242168318426
1575	50525180		CN(C)Cc1ccc(CSCCNc2nncc(-c3ccccc3)c2[N+]([O-])=O)o1	460.0	6.337242168318426
1576	50807406		COc1cc(\C=C\C(=O)OCC2CCN(Cc3ccccc3)CC2)ccc1O	460.0	6.337242168318426
1577	51093025		COc1cc2[se]n(-c3ccc(OCCN4CCCCC4)cc3)c(=O)c2cc1OC	460.0	6.337242168318426
1578	51123098		CCN(CCCCCCn1sc2cc(OC)c(OC)cc2c1=O)Cc1ccccc1OC	460.0	6.337242168318426
1579	50683074		COc1cc2CC(CC3CCCCN3Cc3ccccc3)C(=O)c2cc1OC	460.0	6.337242168318426
1580	50706974	BindingDB_50359512_mol_1	COc1ccc2cc3-c4cc5OCOc5cc4CC[n+]3cc2c1OCCCOc1ccc(O)cc1	460.0	6.337242168318426
1581	339331	8-imino-2-oxo-N-_1-phenylethyl_-2H_8H-pyrano_2_3-f_chromene-	CC(NC(=O)c1cc2c(ccc3ccc(=O)oc23)oc1=N)c1ccccc1	462.0	6.335358024443875
1582	311677	3-_3__8242_-Nitrophenyl_pyrido_2_3-b_pyrazine	[O-][N+](=O)c1cccc(c1)-c1cnc2cccnc2n1	466.0	6.33161408331
1583	50490295		COc1ccc(CN2CCN(CCN3C(=O)c4ccccc4C3=O)CC2)cc1	466.0	6.33161408331
1584	51117846		Cc1cccc(c1)C1c2c(nc3CCCCc3c2N)-n2n1c(=O)c1ccccc1c2=O	467.0	6.330683119433888
1585	50412104	BindingDB_50261344_mol_1	Clc1ccc2c(c1)nc1CCCn1\c2=N/CCCCCCCCNC(=O)CCCCC1CCSS1	468.0	6.329754146925876
1586	50634223	BindingDB_50341587_mol_1	CCCCN(CCCC)c1cn(CCCCOc2c(OC)ccc3cc4-c5cc6OCOc6cc5CC[n+]4cc23)nn1	469.0	6.328827157284917
1587	50712729		Nc1c2CCCCc2nc2Oc3c(ccc4cccnc34)C(c3ccncc3)c12	470.0	6.327902142064283
1588	326443	1-_2_6-Difluorobenzyl_-4-___6-methoxycoumarin-7-yl_oxy_methy	COc1cc2ccc(=O)oc2cc1OCc1cc[n+](Cc2c(F)cccc2F)cc1	470.0	6.327902142064283
1589	50505915		COC(=O)C1=C(C)Oc2nc3CCCCc3c(N)c2C1c1cc2ccc(OC)cc2nc1Cl	470.0	6.327902142064283
1590	50439322		COc1cc2CC(C(=O)Nc3cccc(Cl)c3)C(=O)c2cc1OC	470.0	6.327902142064283
1591	50080427		Cc1c(C(=O)NCC2CCN(Cc3ccccc3)CC2)c(=O)[nH]c2ccccc12	470.0	6.327902142064283
1592	50525179	BindingDB_50004659_mol_1	CN(C)Cc1ccc(CSCCNc2nnccc2[N+]([O-])=O)o1	470.0	6.327902142064283
1593	50636973	BindingDB_50342756_mol_1	O=C1c2ccccc2-c2ncc(OCCN3CCCC3)c3cccc1c23	471.0	6.326979092871103
1594	50534923		CCCc1n[nH]c2Oc3nc4CCCCc4c(N)c3C(c12)c1ccccc1OC	471.0	6.326979092871103
1595	50981893	BindingDB_50402589_mol_1	COc1cccc2cc(C(=O)\C=C\c3cc[n+](Cc4ccc(F)cc4)cc3)c(=O)oc12	472.0	6.3260580013659125
1596	50534948		CCCc1n[nH]c2Oc3nc4CCCCc4c(N)c3C(c12)c1cccc(Br)c1	472.0	6.3260580013659125
1597	50394878	BindingDB_50111768	C(CCCn1c2ccccc2c2cnccc12)CCn1c2ccccc2c2cnccc12	473.0	6.325138859262188
1598	50592816	BindingDB_50325196_mol_1	COc1ccc2C(=O)\C(Oc2c1)=C\c1cc[n+](Cc2ccc(C)cc2)cc1	475.0	6.323306390375134
1599	50930790	BindingDB_50381851_mol_1	C(CNc1c2CCCCc2nc2ccccc12)COc1ccc(cc1)-c1nc2ccccc2o1	475.0	6.323306390375134
1600	50080431		Oc1cc2[nH]c(=O)c(C(=O)NCC3CCN(Cc4ccccc4)CC3)c(O)c2cc1O	480.0	6.318758762624412
1601	50505928		CCOC(=O)C1=C(C)Oc2nc3CCCCc3c(N)c2C1c1cc2ccccc2nc1Cl	480.0	6.318758762624412
1602	50416603	BindingDB_50244217_mol_1	CCN(CC)CCOc1ccc(\C=C2/CCn3c2nc2ccccc2c3=O)cc1	480.0	6.318758762624412
1603	50710112	BindingDB_50360906	COc1cc2CC3(C(C4CSCN4C33C(=O)Nc4ccccc34)c3ccncc3)C(=O)c2cc1OC	480.0	6.318758762624412
1604	51077090	BindingDB_50440435_mol_1	Clc1cccc(C[n+]2ccc(cc2)C2C(C#N)C(=N)Oc3c2c(=O)oc2ccccc32)c1	480.0	6.318758762624412
1605	50724843		CCOC(=O)C1=C(Oc2nc3CCCCc3c(N)c2C1c1ccc(OC)cc1)c1ccccc1	480.0	6.318758762624412
1606	50031479	BindingDB_50022772_mol_1	CC(C)OP(F)(=O)OC(C)C	480.0	6.318758762624412
1607	50412088	BindingDB_50261288_mol_1	NCCCC\N=c1/n2CCCc2nc2cc(Cl)ccc12	480.0	6.318758762624412
1608	51080520	BindingDB_50441860_mol_1	O=c1cc(oc2cc(OCCN3CCN(CCNc4c5CCCCc5nc5ccccc45)CC3)ccc12)-c1ccccc1	481.0	6.317854923626168
1609	51074670	BindingDB_50439509_mol_1	COc1ccc2cc3-c4cc5OCOc5cc4CC[n+]3cc2c1OCCSc1ccc(Cl)cc1	484.0	6.315154638355588
1610	50367977	BindingDB_50099589_mol_1	Cc1nc(cc2c3ccccc3[nH]c12)C(=O)NCCNc1c2CCCCc2nc2ccccc12	485.0	6.314258261397736
1611	50714188		CCN(CC)Cc1ccc(\C=C2/Oc3cc(OC)c(OC)cc3C2=O)cc1O	486.0	6.313363730737707
1612	50490284		COc1ccc(CN2CCN(C\C=C\CN3C(=O)c4ccccc4C3=O)CC2)cc1	489.0	6.31069114087638
1613	50960248	BindingDB_50393870_mol_1	O=C(CCC(=O)Nc1nc(cs1)-c1ccccc1)NCCCCNc1c2CCCCc2nc2ccccc12	489.78	6.309998953116936
1614	50351270		CN(CCCCOc1ccc2c(C)c(C)c(=O)oc2c1)Cc1ccccc1	490.0	6.309803919971486
1615	50351307	BindingDB_50093083_mol_1	Cl.CN(Cc1ccccc1)Cc1ccc(COc2ccc3ccc(=O)[nH]c3c2)cc1	490.0	6.309803919971486
1616	50870796	BindingDB_50251187_mol_1	CO\N=C/c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1	490.0	6.309803919971486
1617	51064310	BindingDB_50434375_mol_1	Oc1ccc(O)n1-c1ccncc1	490.0	6.309803919971486
1618	50706969	BindingDB_50359507_mol_1	COc1ccc2cc3-c4cc5OCOc5cc4CC[n+]3cc2c1OCCCOc1ccccc1O	490.0	6.309803919971486
1619	50582880	BindingDB_50320896_mol_1	COc1ccc2cc3-c4cc5OCOc5cc4CC[n+]3cc2c1OCCCCOc1ccc(cc1)[N+]([O-])=O	490.0	6.309803919971486
1620	50080467		Oc1c(C(=O)NCC2CCN(Cc3ccccc3)CC2)c(=O)n(Cc2ccccc2)c2ccccc12	490.0	6.309803919971486
1621	50721354	BindingDB_50365771	CN(C)CCCNc1ccc2C(=O)c3cccc4ccnc(-c2c1)c34	490.0	6.309803919971486
1622	50464338	BindingDB_50280626_mol_1	Nc1c2C3CCC(C3)c2nc2c(Cl)cccc12	493.0	6.30715308072277
1623	50991061	BindingDB_50282184_mol_1	Fc1ccc(Nc2nc(Cl)nc(Nc3cccc(c3)C(F)(F)F)n2)c(F)c1	496.0	6.304518323509803
1624	339330	N-benzyl-8-imino-2-oxo-2H_8H-pyrano_2_3-f_chromene-9-carboxa	N=c1oc2ccc3ccc(=O)oc3c2cc1C(=O)NCc1ccccc1	497.0	6.303643611266668
